J,K,N,p,seed,sim,runtime,identifiable,branch
50,5,10,0.3,34,8,0.0004490036517381668,1,4
50,5,10,0.3,34,9,0.0004425365477800369,1,4
50,5,10,0.3,35,0,0.0006107669323682785,1,4
50,5,10,0.3,35,1,0.003168076276779175,1,6
50,5,10,0.3,35,2,0.0005031358450651169,1,4
50,5,10,0.3,35,3,0.000469844788312912,1,4
50,5,10,0.3,35,4,0.0004733242094516754,1,4
50,5,10,0.3,35,5,0.004838785156607628,1,6
50,5,10,0.3,35,6,0.0040755197405815125,1,6
50,5,10,0.3,35,7,0.0004957634955644608,1,4
50,5,10,0.3,35,8,0.0004665050655603409,1,4
50,5,10,0.3,35,9,0.0004944372922182083,1,4
50,5,10,0.3,36,0,0.0005903784185647964,1,4
50,5,10,0.3,36,1,0.0005564391613006592,1,4
50,5,10,0.3,36,2,0.00045650266110897064,1,4
50,5,10,0.3,36,3,0.0004672147333621979,1,4
50,5,10,0.3,36,4,0.00045765191316604614,1,4
50,5,10,0.3,36,5,0.00047406554222106934,1,4
50,5,10,0.3,36,6,0.005038172006607056,1,6
50,5,10,0.3,36,7,0.0040819235146045685,1,6
50,5,10,0.3,36,8,0.0004598870873451233,1,4
50,5,10,0.3,36,9,0.0004664696753025055,1,4
50,5,10,0.3,37,0,0.0005705803632736206,1,4
50,5,10,0.3,37,1,0.0005409605801105499,1,4
50,5,10,0.3,37,2,0.00045145489275455475,1,4
50,5,10,0.3,37,3,0.00046143680810928345,1,4
50,5,10,0.3,37,4,0.000453408807516098,1,4
50,5,10,0.3,37,5,0.0004505123943090439,1,4
50,5,10,0.3,37,6,0.000452972948551178,1,4
50,5,10,0.3,37,7,0.004993261769413948,1,6
50,5,10,0.3,37,8,0.0004637632519006729,1,4
50,5,10,0.3,37,9,0.0004613623023033142,1,4
50,5,10,0.3,39,0,0.0005955006927251816,1,4
50,5,10,0.3,39,1,0.0005504060536623001,1,4
50,5,10,0.3,39,2,0.00048115290701389313,1,4
50,5,10,0.3,39,3,0.0004833359271287918,1,4
50,5,10,0.3,39,4,0.00046251900494098663,1,4
50,5,10,0.3,39,5,0.00045283325016498566,1,4
50,5,10,0.3,39,6,0.00046733953058719635,1,4
50,5,10,0.3,39,7,0.0004574153572320938,1,4
50,5,10,0.3,39,8,0.00045941583812236786,1,4
50,5,10,0.3,39,9,0.00047564320266246796,1,4
50,5,10,0.3,38,0,0.0006111357361078262,1,4
50,5,10,0.3,38,1,0.0006285645067691803,1,4
50,5,10,0.3,38,2,0.0004968401044607162,1,4
50,5,10,0.3,38,3,0.00047408416867256165,1,4
50,5,10,0.3,38,4,0.00046724453568458557,1,4
50,5,10,0.3,38,5,0.0004513971507549286,1,4
50,5,10,0.3,38,6,0.000454876571893692,1,4
50,5,10,0.3,38,7,0.0004630591720342636,1,4
50,5,10,0.3,38,8,0.003796743229031563,1,6
50,5,10,0.3,38,9,0.0004910361021757126,1,4
50,5,10,0.3,40,0,0.000568400981137529,1,4
50,5,10,0.3,40,1,0.004613109020283446,1,6
50,5,10,0.3,40,2,0.00048107601469382644,1,4
50,5,10,0.3,40,3,0.004340371990110725,1,6
50,5,10,0.3,40,4,0.0004579039814416319,1,4
50,5,10,0.3,40,5,0.00044825399527326226,1,4
50,5,10,0.3,40,6,0.0004475699970498681,1,4
50,5,10,0.3,40,7,0.0004625180154107511,1,4
50,5,10,0.3,40,8,0.00045196700375527143,1,4
50,5,10,0.3,40,9,0.00044834500295110047,1,4
50,5,10,0.3,42,0,0.0005812789895571768,1,4
50,5,10,0.3,42,1,0.0005382479866966605,1,4
50,5,10,0.3,42,2,0.0004559099907055497,1,4
50,5,10,0.3,42,3,0.0004529929719865322,1,4
50,5,10,0.3,42,4,0.000456793000921607,1,4
50,5,10,0.3,42,5,0.0004534799954853952,1,4
50,5,10,0.3,42,6,0.0004494640161283314,1,4
50,5,10,0.3,42,7,0.0004488929989747703,1,4
50,5,10,0.3,42,8,0.0004482330405153334,1,4
50,5,10,0.3,42,9,0.00045396899804472923,1,4
50,5,10,0.3,43,0,0.0006027389317750931,1,4
50,5,10,0.3,43,1,0.0005598142743110657,1,4
50,5,10,0.3,43,2,0.00047184713184833527,1,4
50,5,10,0.3,43,3,0.00046562403440475464,1,4
50,5,10,0.3,43,4,0.0004532206803560257,1,4
50,5,10,0.3,43,5,0.0004662349820137024,1,4
50,5,10,0.3,43,6,0.00045653246343135834,1,4
50,5,10,0.3,43,7,0.0038200989365577698,1,6
50,5,10,0.3,43,8,0.00046319514513015747,1,4
50,5,10,0.3,43,9,0.000459158793091774,1,4
50,5,10,0.3,41,0,0.0005873478949069977,1,4
50,5,10,0.3,41,1,0.0045846253633499146,1,6
50,5,10,0.3,41,2,0.0004735533148050308,1,4
50,5,10,0.3,41,3,0.0004561617970466614,1,4
50,5,10,0.3,41,4,0.000456053763628006,1,4
50,5,10,0.3,41,5,0.00045581161975860596,1,4
50,5,10,0.3,41,6,0.00044194795191287994,1,4
50,5,10,0.3,41,7,0.0036124736070632935,1,6
50,5,10,0.3,41,8,0.0004565361887216568,1,4
50,5,10,0.3,41,9,0.0004498511552810669,1,4
50,5,10,0.3,44,0,0.0005958080291748047,1,4
50,5,10,0.3,44,1,0.0005580149590969086,1,4
50,5,10,0.3,44,2,0.0004716794937849045,1,4
50,5,10,0.3,44,3,0.00046288780868053436,1,4
50,5,10,0.3,44,4,0.0004625339061021805,1,4
50,5,10,0.3,46,0,0.0005830284208059311,1,4

50,5,10,0.3,44,6,0.00046943314373493195,1,4
50,5,10,0.3,46,1,0.0005300156772136688,1,4
50,5,10,0.3,44,7,0.0004593636840581894,1,4
50,5,10,0.3,44,8,0.0004672296345233917,1,4
50,5,10,0.3,46,2,0.0037004780024290085,1,6

50,5,10,0.3,46,3,0.003025071695446968,1,6
50,5,10,0.3,46,4,0.004125339910387993,1,6
50,5,10,0.3,46,5,0.00045708008110523224,1,4
50,5,10,0.3,46,6,0.0004599299281835556,1,4
50,5,10,0.3,46,7,0.0004504341632127762,1,4
50,5,10,0.3,46,8,0.00045532360672950745,1,4
50,5,10,0.3,46,9,0.0004726666957139969,1,4
50,5,10,0.3,45,0,0.0006126295775175095,1,4
50,5,10,0.3,45,1,0.0038759931921958923,1,6
50,5,10,0.3,45,2,0.00048643164336681366,1,4
50,5,10,0.3,45,3,0.00045010074973106384,1,4
50,5,10,0.3,45,4,0.0004513245075941086,1,4
50,5,10,0.3,45,5,0.0004575960338115692,1,4
50,5,10,0.3,45,6,0.0004544835537672043,1,4
50,5,10,0.3,45,7,0.003963548690080643,1,6
50,5,10,0.3,45,8,0.000472409650683403,1,4
50,5,10,0.3,45,9,0.00046967528760433197,1,4
50,5,10,0.3,49,0,0.0005950033664703369,1,4
50,5,10,0.3,49,1,0.0005686134099960327,1,4
50,5,10,0.3,49,2,0.00046075135469436646,1,4
50,5,10,0.3,49,3,0.00047374144196510315,1,4
50,5,10,0.3,49,4,0.0004761647433042526,1,4
50,5,10,0.3,49,5,0.00045753829181194305,1,4
50,5,10,0.3,49,6,0.00046552158892154694,1,4
50,5,10,0.3,49,7,0.0004561208188533783,1,4
50,5,10,0.3,49,8,0.000452578067779541,1,4
50,5,10,0.3,49,9,0.0004583187401294708,1,4
50,5,10,0.3,47,0,0.0005908161401748657,1,4
50,5,10,0.3,47,1,0.0005624368786811829,1,4
50,5,10,0.3,47,2,0.0004629809409379959,1,4
50,5,10,0.3,47,3,0.0004588514566421509,1,4
50,5,10,0.3,47,4,0.0004621315747499466,1,4
50,5,10,0.3,47,5,0.0004530530422925949,1,4
50,5,10,0.3,47,6,0.0004499834030866623,1,4
50,5,10,0.3,47,7,0.00045762211084365845,1,4
50,5,10,0.3,47,8,0.0050899554044008255,1,6
50,5,10,0.3,47,9,0.0004706289619207382,1,4
50,5,10,0.3,48,0,0.0006045009940862656,1,4
50,5,10,0.3,48,1,0.003815094009041786,1,6
50,5,10,0.3,48,2,0.00047792866826057434,1,4
50,5,10,0.3,48,3,0.0004517398774623871,1,4
50,5,10,0.3,48,4,0.0004504546523094177,1,4
50,5,10,0.3,48,5,0.00045205093920230865,1,4
50,5,10,0.3,48,6,0.000460086390376091,1,4
50,5,10,0.3,48,7,0.00044790469110012054,1,4
50,5,10,0.3,48,8,0.00045051053166389465,1,4
50,5,10,0.3,48,9,0.0004723779857158661,1,4
50,5,10,0.3,50,0,0.0005839240038767457,1,4
50,5,10,0.3,50,1,0.0005563280137721449,1,4
50,5,10,0.3,50,2,0.0004772820102516562,1,4
